title,year,conf,field,pseudo_datasets,real_datasets,time_series,interv_setting,synthetic,pseudo_real,real,interventions,small,medium,big,synth_structural,synth_observational,synth_interventional,synth_qualitative,real_structural,real_observational,real_interventional,real_qualitative,included
Differentiable Causal Discovery Under Unmeasured Confounding,2020,AISTATS,bio,,Sachs,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1
Learning Linear Non-Gaussian Polytree Models,2022,UAI,,,,0,0,1,0,0,,,,,1,0,0,0,,,,,1
Local Causal Discovery for Estimating Causal Effects,2023,CLeaR,,bnlearn,,0,0,1,1,0,,,,,1,0,1,0,,,,,1
Identification of Linear Non-Gaussian Latent Hierarchical Structure,2022,ICML,socio,,,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1
Identification of Partially Observed Linear Causal Models: Graphical Conditions for the Non-Gaussian and Heterogeneous Cases,2021,NeurIPS,,,,0,1,1,0,0,,,,,1,0,0,0,,,,,1
Bootstrap aggregation and confidence measures to improve time series causal discovery,2023,CLeaR,,,,1,0,1,0,0,,,,,1,0,0,0,,,,,1
Quantile Causal Discovery,2020,ICML,,,Tubingen,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
High-recall causal discovery for autocorrelated time series with latent confounders,2020,NeurIPS,,,,1,0,1,0,0,,,,,1,0,0,0,,,,,1
The Causality for Climate Competition,2019,NeurIPS,,,,,,,,,,,,,,,,,,,,,0
Causal Discovery with General Non-Linear Relationships using Non-Linear ICA,2019,UAI,neuro,,fmri-hippo,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1
Causal Structure Learning for Latent Intervened Non-stationary Data,2023,ICML,earth,,,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
DAG Learning on the Permutahedron,2023,ICLR,bio,Syntren,Sachs,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1
Causal Discovery in Linear Latent Variable Models Subject to Measurement Error,2022,NeurIPS,,,,0,0,1,0,0,,,,,1,0,0,0,,,,,1
Typing assumptions improve identification in causal discovery,2021,CLeaR,,bnlearn,,0,0,1,1,0,,,,,1,0,0,0,,,,,1
