title,year,conf,field,pseudo_datasets,real_datasets,time_series,interv_setting,synthetic,pseudo_real,real,interventions,small,medium,big,synth_structural,synth_observational,synth_interventional,synth_qualitative,real_structural,real_observational,real_interventional,real_qualitative,included
On the Recoverability of Causal Relations from Temporally Aggregated I.I.D. Data,2024,ICML,,,,,,,,,,,,,,,,,,,,,0
Challenges and Considerations in the Evaluation of Bayesian Causal Discovery,2024,ICML,,,,,,,,,,,,,,,,,,,,,0
A Large Scale Search Dataset for Unbiased Learning to Rank,2022,NeurIPS,,,,,,,,,,,,,,,,,,,,,0
Learning the Structure of a Nonstationary Vector Autoregression,2019,AISTATS,econ,,,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1
Active causal structure learning with advice,2023,ICML,,,,,,,,,,,,,,,,,,,,,0
Reinforcement Causal Structure Learning on Order Graph,2022,AAAI,bio,,Sachs,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1
Score-Based Causal Discovery of Latent Variable Causal Models,2024,ICML,,,,0,0,1,0,0,,,,,1,0,0,0,,,,,1
ABCD-Strategy: Budgeted Experimental Design for Targeted Causal Structure Discovery,2019,AISTATS,,,,,,,,,,,,,,,,,,,,,0
"Filter, Rank, and Prune: Learning Linear Cyclic Gaussian Graphical Models",2024,AISTATS,neuro,,,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1
A Multivariate Causal Discovery based on Post-Nonlinear Model,2022,CLeaR,"neuro,socio",Smith-fmri,general-survey,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1
Directed Cyclic Graph for Causal Discovery from Multivariate Functional Data,2023,NeurIPS,neuro,,,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1
Differentiable Causal Discovery Under Latent Interventions,2022,CLeaR,bio,,Sachs,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1
Causal Discovery with Score Matching on Additive Models with Arbitrary Noise,2023,CLeaR,bio,,Sachs,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1
FedCSL: A Scalable and Accurate Approach to Federated Causal Structure Learning,2024,AAAI,bio,bnlearn,Sachs,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1
Causal Discovery from Soft Interventions with Unknown Targets: Characterization and Learning,2020,NeurIPS,,,,,,,,,,,,,,,,,,,,,0
A Weaker Faithfulness Assumption based on Triple Interactions,2020,UAI,,,,,,,,,,,,,,,,,,,,,0
Amortized Inference for Causal Structure Learning,2022,NeurIPS,bio,,,0,0,1,1,0,,,,,1,0,0,0,,,,,1
Optimal transport for causal discovery,2022,ICLR,,,Tubingen,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
Differentiable Multi-Target Causal Bayesian Experimental Design,2023,ICML,,,,,,,,,,,,,,,,,,,,,0
Learning the Finer Things: Bayesian Structure Learning at the Instantiation Level,2023,AAAI,,,,,,,,,,,,,,,,,,,,,0
Optimal Kernel Choice for Score Function-based Causal Discovery,2024,ICML,,bnlearn,Sachs,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1
Practical Algorithms for Orientations of Partially Directed Graphical Models,2023,CLeaR,,,,,,,,,,,,,,,,,,,,,0
Rank-Based Causal Discovery for Post-Nonlinear Models,2023,AISTATS,,,,0,0,1,0,0,,,,,1,1,0,0,,,,,1
Generalizing Goal-Conditioned Reinforcement Learning with Variational Causal Reasoning,2022,NeurIPS,,,,,,,,,,,,,,,,,,,,,0
CUTS+: High-dimensional Causal Discovery from Irregular Time-series,2023,AAAI,"earth,bio",DREAM,,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1
Active Bayesian Causal Inference,2022,NeurIPS,,,,,,,,,,,,,,,,,,,,,0
Causal Discovery with Reinforcement Learning,2019,ICLR,socio,,general-survey,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1
Adaptive Online Experimental Design for Causal Discovery,2024,ICML,,,,,,,,,,,,,,,,,,,,,0
A Meta-Reinforcement Learning Algorithm for Causal Discovery,2022,CLeaR,,,,0,1,1,0,0,,,,,1,0,0,0,,,,,1
Causal Discovery for Linear Mixed Data,2022,CLeaR,other,,,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
Efficient Causal Structure Learning from Multiple Interventional Datasets with Unknown Targets,2022,AAAI,,,,0,1,1,1,0,,,,,1,0,0,0,,,,,1
Bicycle: Intervention-Based Causal Discovery with Cycles,2024,CLeaR,bio,,Frangieh,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1
A Versatile Causal Discovery Framework to Allow Causally-Related Hidden Variables,2023,ICLR,socio,,,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1
Nothing but Regrets - Privacy-Preserving Federated Causal Discovery,2023,AISTATS,,bnlearn,Sachs,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1
Scalable Causal Discovery with Score Matching,2023,CLeaR,bio,Syntren,Sachs,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1
Sample Complexity Bounds for Score-Matching: Causal Discovery and Generative Modeling,2023,NeurIPS,,,,,,,,,,,,,,,,,,,,,0
IDYNO: Learning Nonparametric DAGs from Interventional Dynamic Data,2022,ICML,"comp,other",,,1,1,1,1,0,,,,,1,0,0,0,,,,,1
Causal Discovery with Latent Confounders Based on Higher-Order Cumulants,2023,ICML,econ,,,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1
Branch-Price-and-Cut for Causal Discovery,2023,CLeaR,,,,0,0,1,0,0,,,,,1,0,0,0,,,,,1
